"PRODUCT_ID","WAREHOUSE_ID","QUANTITY"
210,8,122
211,8,123
212,8,123
214,8,124
216,8,125
217,8,125
218,8,126
220,8,149
221,8,150
222,8,150
223,8,151
229,8,123
230,8,124
231,8,124
232,8,124
233,8,124
234,8,124
235,8,125
241,8,121
242,8,121
243,8,121
245,8,137
254,8,136
255,8,136
256,8,136
257,8,136
258,8,136
259,8,137
260,8,137
263,8,137
264,8,137
269,8,178
270,8,178
271,8,183
272,8,184
273,8,156
274,8,160
276,8,187
277,8,187
278,8,188
280,8,154
281,8,167
283,8,194
284,8,268
285,8,176
286,8,177
2,9,23
3,9,35
4,9,35
5,9,36
6,9,36
7,9,36
8,9,36
9,9,36
11,9,37
12,9,37
13,9,37
14,9,38
15,9,41
17,9,3
18,9,3
19,9,3
20,9,4
21,9,4
27,9,5
29,9,6
30,9,6
31,9,7
32,9,7
34,9,8
46,9,6
47,9,0
54,9,33
62,9,32
63,9,33
67,9,34
68,9,34
69,9,35
70,9,35
71,9,35
72,9,35
73,9,27
74,9,27
76,9,28
78,9,29
79,9,29
80,9,29
84,9,33
87,9,35
88,9,7
89,9,8
90,9,8
91,9,22
98,9,32
101,9,3
102,9,36
103,9,5
105,9,6
106,9,6
107,9,6
108,9,6
109,9,6
110,9,7
114,9,8
115,9,9
116,9,9
117,9,9
119,9,10
120,9,10
121,9,10
122,9,11
123,9,11
124,9,11
125,9,11
126,9,12
128,9,12
129,9,12
132,9,13
133,9,13
136,9,14
137,9,15
138,9,16
141,9,18
142,9,19
159,9,15
160,9,21
161,9,36
163,9,35
166,9,54
174,9,74
175,9,74
182,9,110
184,9,111
185,9,111
188,9,119
189,9,119
190,9,120
191,9,120
193,9,121
195,9,122
196,9,122
198,9,122
199,9,123
200,9,123
201,9,124
203,9,124
204,9,125
205,9,125
207,9,109
210,9,110
211,9,111
212,9,111
214,9,112
216,9,113
217,9,113
218,9,114
220,9,134
221,9,135
222,9,135
223,9,136
241,9,109
242,9,109
243,9,109
245,9,125
269,9,161
270,9,161
271,9,165
272,9,166
274,9,148
276,9,169
277,9,169
278,9,170
281,9,155
283,9,179
3,1,106
4,1,106
5,1,106
6,1,107
11,1,108
12,1,108
80,1,125
87,1,131
